real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
0,1,4,85,1,1,90,1,1,91,1,3,90
1,1,2,90,1,3,90,1,1,95,1,3,90
1,1,2,90,1,3,90,1,3,91,1,1,90
0,1,1,95,1,4,86,1,1,90,1,1,91
0,1,4,83,1,4,85,1,3,90,1,1,95
1,1,1,87,1,2,90,1,2,92,1,3,91
0,1,4,83,1,1,95,1,4,85,1,3,90
0,1,4,83,1,1,87,1,2,90,1,2,92
0,1,4,83,1,4,83,1,4,83,1,2,90
0,1,1,84,1,4,83,1,1,87,1,2,90
0,1,3,90,1,4,83,1,1,87,1,1,95
0,1,3,88,1,4,83,1,4,83,1,1,95
0,1,4,83,1,1,84,1,4,83,1,1,87
0,1,3,93,1,3,90,1,4,83,1,1,87
0,1,2,94,1,3,88,1,4,83,1,4,83
0,1,3,93,1,3,88,1,4,83,1,4,83
0,1,3,92,1,3,93,1,3,88,1,4,83
0,1,4,89,1,2,94,1,3,88,1,4,83
0,1,3,91,1,2,94,1,3,88,1,4,83
0,1,3,90,1,3,93,1,3,88,1,4,83
0,1,1,92,1,3,93,1,3,93,1,3,90
0,1,2,94,1,3,92,1,2,94,1,3,88
0,3,1,40,1,3,91,1,3,93,1,3,88
1,1,1,65,1,1,92,1,3,93,1,3,93
1,1,1,65,1,1,92,1,3,92,1,3,93
1,1,1,97,1,2,94,1,4,89,1,2,94
1,1,1,97,3,1,40,1,3,91,1,3,93
1,2,1,78,1,1,65,1,1,92,1,3,93
0,3,1,73,1,1,65,1,1,92,1,3,92
0,3,3,68,1,1,97,1,2,94,1,3,91
0,1,4,40,1,1,97,3,1,40,1,3,91
0,3,4,68,2,1,78,1,1,65,1,1,92
0,3,4,68,3,1,73,1,1,65,1,1,92

0,1,2,62,3,6,25,3,6,1,3,6,2
0,1,1,82,1,6,5,3,6,1,4,6,12
0,1,1,94,1,6,3,3,6,5,3,6,2
0,1,1,95,1,6,4,3,6,25,3,6,4
0,1,1,95,1,2,62,3,6,25,3,6,1
1,1,1,97,1,1,94,2,6,2,3,6,5
0,1,1,97,1,1,95,1,1,82,1,6,5
