real,brigthnessMax,motionMax,sleepMax,brigthnessMin,motionMin,sleepMin,brigthnessMedian,motionMedian,sleepMedian,brigthnessAverage,motionAverage,sleepAverage
1,1,4,95,1,1,76,1,2,85,1,2,85
1,1,4,95,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,76,1,2,86,1,2,86
1,1,4,95,1,1,76,1,2,84,1,2,84
1,1,4,95,1,1,77,1,2,87,1,2,87
1,1,4,95,1,1,74,1,1,89,1,1,89
1,1,4,97,1,1,77,1,1,91,1,1,91
1,1,4,95,1,1,74,1,1,90,1,1,90
1,1,4,97,1,1,80,1,1,90,1,1,90
1,1,4,97,1,1,77,1,2,90,1,2,90
1,1,4,95,1,1,84,1,1,91,1,1,91
1,1,6,94,1,1,41,1,3,77,1,3,77
1,1,3,95,1,1,90,1,1,92,1,1,92
1,1,4,94,1,1,84,1,2,89,1,2,89
1,1,6,94,1,1,41,1,3,73,1,3,73
1,1,3,97,1,1,76,1,1,93,1,1,93
1,1,2,97,1,1,95,1,1,96,1,1,96
1,1,3,95,1,1,76,1,1,92,1,1,92
1,1,1,97,1,1,95,1,1,96,1,1,96
1,1,2,97,1,1,95,1,1,96,1,1,96
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,5,97,1,1,68,1,2,85,1,2,85
1,1,4,95,1,1,78,1,1,89,1,1,89
1,1,5,95,1,1,68,1,2,85,1,2,85
1,1,5,97,1,1,69,1,2,87,1,2,87
1,2,3,93,2,1,5,2,1,83,2,1,83
1,2,4,93,2,1,74,2,1,87,2,1,87
1,2,3,93,2,1,5,2,1,79,2,1,79
1,2,4,93,2,1,79,2,1,88,2,1,88
1,2,4,93,2,1,74,2,1,88,2,1,88
1,2,2,95,1,1,5,1,1,87,1,1,87
1,1,6,96,1,1,37,1,1,90,1,1,90
1,2,2,95,1,1,86,1,1,92,1,1,92
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,6,96,1,1,37,1,1,90,1,1,90
1,2,4,95,1,1,56,1,2,85,1,2,85
1,2,5,94,1,1,67,1,2,83,1,2,83
1,1,4,95,1,1,78,1,1,89,1,1,89
1,2,4,93,1,1,56,1,2,83,1,2,83
1,2,5,94,1,1,67,1,3,82,1,3,82
1,1,2,95,1,1,62,1,1,92,1,1,92
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,2,95,1,1,62,1,1,92,1,1,92
1,1,2,95,1,1,91,1,1,94,1,1,94
1,1,3,97,1,1,90,1,1,94,1,1,94
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,4,95,1,1,83,1,1,92,1,1,92
1,1,4,95,1,1,5,1,1,84,1,1,84
1,1,4,95,1,1,5,1,1,89,1,1,89
1,1,4,95,1,1,87,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,84,1,1,84
1,2,4,96,1,1,5,1,1,88,1,1,88
1,2,2,95,1,1,5,1,1,80,1,1,80
1,1,4,95,1,1,85,1,2,90,1,2,90
1,2,3,96,1,1,5,1,1,87,1,1,87
1,2,3,93,2,1,5,2,1,82,2,1,82
1,2,4,97,1,1,76,1,1,91,1,1,91
1,2,3,93,2,1,5,2,1,84,2,1,84
1,2,4,94,1,1,5,1,1,83,1,1,83
1,1,4,97,1,1,83,1,1,92,1,1,92
1,2,4,95,1,1,5,1,1,81,1,1,81
1,2,4,94,1,1,60,1,1,88,1,1,88
1,2,4,93,1,1,5,1,1,75,1,1,75
1,2,4,95,1,1,60,1,1,88,1,1,88
1,2,3,94,1,1,84,1,1,90,1,1,90
1,1,3,95,1,1,5,1,1,84,1,1,84
1,1,4,97,1,1,86,1,1,94,1,1,94
1,1,3,95,1,1,5,1,1,79,1,1,79
1,1,2,95,1,1,93,1,1,94,1,1,94
1,1,4,97,1,1,86,1,1,93,1,1,93
1,1,2,95,1,1,5,1,1,88,1,1,88
1,2,2,97,1,1,78,1,1,94,1,1,94
1,1,2,95,1,1,5,1,1,85,1,1,85
1,1,2,95,1,1,94,1,1,94,1,1,94
